Tract,Total Pop,Park Acres,Parks Score,Libraries Count,Libraries Score,Bus Count,Bus Score,L Count,L Score,Divvy Count,Divvy Score,Transit Score,APS Index
301801,8240.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,4.0,8.0,0.026664
301802,2769.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0,28.0,0.093324
301803,12920.0,23.93,3.0,1.0,18.0,7.0,8.0,0.0,0.0,1.0,6.0,5.0,0.08665799999999999
310200,5280.0,2.69,1.0,0.0,0.0,5.0,11.0,0.0,0.0,1.0,15.0,9.0,0.03333
310300,3518.0,0.0,0.0,0.0,0.0,10.0,22.0,0.0,0.0,1.0,15.0,24.0,0.079992
310400,2402.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,24.0,10.0,0.03333
310500,4446.0,6.34,2.0,0.0,0.0,4.0,10.0,0.0,0.0,1.0,18.0,9.0,0.036662999999999994
310600,22392.0,0.72,1.0,1.0,6.0,17.0,11.0,0.0,0.0,3.0,14.0,7.0,0.046661999999999995
310700,1486.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,31.0,0.103323
310800,13149.0,0.0,0.0,0.0,0.0,8.0,7.0,2.0,12.0,1.0,4.0,7.0,0.023331
310900,19420.0,19.279999999999998,2.0,0.0,0.0,20.0,16.0,2.0,10.0,1.0,3.0,9.0,0.036662999999999994
320101,7952.0,295.45,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.046662
320102,4769.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,46.0,0.0,0.0,10.0,0.03333
320400,12232.0,1.1,1.0,0.0,0.0,20.0,25.0,6.0,76.0,4.0,39.0,19.0,0.06666
320600,16611.0,0.0,0.0,0.0,0.0,20.0,14.0,2.0,8.0,3.0,14.0,12.0,0.039996
330101,4556.0,776.2500000000001,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.196647
330102,18506.0,2.06,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.006666
330103,15856.0,4.65,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.006666
330200,15960.0,3.6799999999999997,1.0,0.0,0.0,18.0,17.0,2.0,14.0,2.0,13.0,11.0,0.039996000000000004
340300,3600.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,33.0,7.0,0.023331
340400,1584.0,0.0,0.0,0.0,0.0,8.0,19.0,0.0,0.0,0.0,0.0,38.0,0.126654
340500,6920.0,9.05,2.0,0.0,0.0,9.0,20.0,2.0,42.0,1.0,15.0,14.0,0.053328
340600,3315.0,2.53,1.0,0.0,0.0,9.0,31.0,0.0,0.0,1.0,26.0,23.0,0.07999200000000001
350100,4918.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,2.0,23.0,11.0,0.036663
350400,5577.0,6.75,2.0,0.0,0.0,5.0,10.0,0.0,0.0,1.0,14.0,9.0,0.036662999999999994
351000,10071.0,7.97,1.0,0.0,0.0,15.0,17.0,0.0,0.0,3.0,25.0,14.0,0.049995000000000005
351100,2230.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,17.0,0.056661
351400,3070.0,0.0,0.0,1.0,49.0,8.0,20.0,0.0,0.0,0.0,0.0,20.0,0.229977
351500,1820.0,3.96,2.0,0.0,0.0,5.0,21.0,0.0,0.0,0.0,0.0,21.0,0.076659
360200,3584.0,9.86,2.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,15.0,0.056660999999999996
380100,5952.0,1.1800000000000002,1.0,0.0,0.0,9.0,17.0,0.0,0.0,1.0,13.0,13.0,0.046662
380200,1652.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,19.0,0.063327
380600,8088.0,7.460000000000001,1.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,2.0,0.009999000000000001
381200,3328.0,0.0,0.0,0.0,0.0,8.0,18.0,0.0,0.0,1.0,16.0,21.0,0.069993
381400,5016.0,0.0,0.0,1.0,44.0,8.0,18.0,2.0,44.0,0.0,0.0,15.0,0.19664700000000002
381500,612.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,37.0,0.12332099999999999
381800,5004.0,0.75,1.0,0.0,0.0,9.0,27.0,2.0,61.0,1.0,22.0,19.0,0.06666
381900,1275.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,24.0,0.079992
390100,3428.0,0.31,1.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,7.0,0.026664
390200,6681.0,5.45,1.0,0.0,0.0,4.0,7.0,0.0,0.0,2.0,26.0,7.0,0.026664
390300,5780.0,0.0,0.0,0.0,0.0,10.0,13.0,0.0,0.0,1.0,8.0,15.0,0.049995
390400,4714.0,3.96,1.0,0.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,13.0,0.046662
390500,1741.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,18.0,0.05999399999999999
390600,5118.0,7.08,2.0,0.0,0.0,5.0,11.0,0.0,0.0,1.0,15.0,9.0,0.036662999999999994
390700,17571.0,0.0,0.0,1.0,5.0,16.0,10.0,0.0,0.0,2.0,7.0,8.0,0.043329
400300,4844.0,350.49,97.0,0.0,0.0,29.0,91.0,2.0,63.0,3.0,77.0,53.0,0.49994999999999995
400400,4304.0,0.72,1.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,13.0,0.046662
400500,2348.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,20.0,0.06666
400800,2462.0,0.0,0.0,0.0,0.0,18.0,28.0,0.0,0.0,0.0,0.0,55.0,0.183315
410100,6606.0,25.4,4.0,0.0,0.0,9.0,15.0,0.0,0.0,1.0,11.0,12.0,0.053328
410200,1484.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,21.0,0.069993
410500,5782.0,0.57,1.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,10.0,0.036663
410600,6735.0,3.22,1.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,11.0,5.0,0.019998
410700,7692.0,11.99,2.0,0.0,0.0,4.0,6.0,0.0,0.0,2.0,22.0,6.0,0.026664
410800,5814.0,1.29,1.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,8.0,0.029997
410900,10281.0,0.24,1.0,0.0,0.0,11.0,12.0,0.0,0.0,1.0,6.0,9.0,0.03333
411000,7482.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,4.0,31.0,18.0,0.05999399999999999
